feature_name,category,description,formula,input_columns,output_type,used_by
is_last_month,temporal,"Binary flag: 1 if this row is the latest reporting_month for the district, else 0.",1 if reporting_month == max(reporting_month) per district else 0,"district, reporting_month",int,"ml, analytics"
stations_per_sqkm,infrastructure,EV charging station density: number of charging stations per square kilometre of district area.,charging_station_count / district_area_sqkm,"charging_station_count, district_area_sqkm",float,"ml, analytics"
units_per_station,infrastructure,Electricity intensity per charging station: monthly units consumed divided by number of charging stations. NaN if stations == 0.,units / charging_station_count,"units, charging_station_count",float,"ml, analytics"
load_per_station,infrastructure,Connected load per charging station (kVA/station). NaN if stations == 0.,load / charging_station_count,"load, charging_station_count",float,"ml, analytics"
services_per_station,infrastructure,Number of service connections per charging station. NaN if stations == 0.,total_services / charging_station_count,"total_services, charging_station_count",float,"ml, analytics"
billed_service_ratio,utilization,Fraction of total services that were billed in the reporting month (0–1). NaN if total_services == 0.,billed_services / total_services,"billed_services, total_services",float,"ml, analytics"
average_units_per_service,utilization,Average electricity units consumed per total service connection. NaN if total_services == 0.,units / total_services,"units, total_services",float,"ml, analytics"
average_load_per_service,utilization,Average connected load per total service connection (kVA). NaN if total_services == 0.,load / total_services,"load, total_services",float,"ml, analytics"
average_units_per_billed_service,utilization,Average electricity units consumed per *billed* service connection. NaN if billed_services == 0.,units / billed_services,"units, billed_services",float,"ml, analytics"
previous_month_units,rolling,Electricity units from the immediately preceding month for the same district (lag-1). NaN for the first observation per district.,units.shift(1) per district,"district, reporting_month, units",float,"ml, analytics"
previous_month_load,rolling,Connected load from the immediately preceding month for the same district (lag-1). NaN for the first observation per district.,load.shift(1) per district,"district, reporting_month, load",float,"ml, analytics"
rolling_average_3m,rolling,"3-month trailing mean of units for the district, computed over the 3 months preceding the current month (t-3 to t-1). Historical only.","mean(units.shift(1), window=3, min_periods=1) per district","district, reporting_month, units",float,"ml, analytics"
rolling_average_6m,rolling,6-month trailing mean of units for the district (t-6 to t-1). Historical only.,"mean(units.shift(1), window=6, min_periods=1) per district","district, reporting_month, units",float,"ml, analytics"
rolling_average_12m,rolling,12-month trailing mean of units for the district (t-12 to t-1). Historical only.,"mean(units.shift(1), window=12, min_periods=1) per district","district, reporting_month, units",float,"ml, analytics"
rolling_std_3m,rolling,3-month trailing standard deviation of units (t-3 to t-1). NaN if fewer than 3 prior observations exist for the district.,"std(units.shift(1), window=3, min_periods=3) per district","district, reporting_month, units",float,"ml, analytics"
rolling_std_6m,rolling,6-month trailing standard deviation of units (t-6 to t-1). NaN if fewer than 6 prior observations exist for the district.,"std(units.shift(1), window=6, min_periods=6) per district","district, reporting_month, units",float,"ml, analytics"
rolling_max_6m,rolling,6-month trailing maximum of units (t-6 to t-1). NaN if fewer than 6 prior observations exist for the district.,"max(units.shift(1), window=6, min_periods=6) per district","district, reporting_month, units",float,"ml, analytics"
rolling_min_6m,rolling,6-month trailing minimum of units (t-6 to t-1). NaN if fewer than 6 prior observations exist for the district.,"min(units.shift(1), window=6, min_periods=6) per district","district, reporting_month, units",float,"ml, analytics"
monthly_growth_rate,growth,Month-on-month percentage change in electricity units for the district: 100 × (units_t − units_{t-1}) / units_{t-1}. NaN for the first observation or when previous month units == 0.,100 * (units - units.shift(1)) / units.shift(1) per district,"district, reporting_month, units",float,"ml, analytics"
monthly_load_growth,growth,Month-on-month percentage change in connected load for the district. NaN for the first observation or when previous month load == 0.,100 * (load - load.shift(1)) / load.shift(1) per district,"district, reporting_month, load",float,"ml, analytics"
cumulative_units,growth,Running total of electricity units consumed by the district from its first observation up to the month preceding the current month.,cumsum(units.shift(1)) per district,"district, reporting_month, units",float,"ml, analytics"
cumulative_load,growth,Running total of connected load for the district from its first observation up to the month preceding the current month.,cumsum(load.shift(1)) per district,"district, reporting_month, load",float,"ml, analytics"
